record type,booking id,service type,division name,run id,run pieces,run name,block number,piece number,start place,end place,sign on time of piece,start time of piece,end time of piece,clear time of piece,special trip option id,op days
51,1,2,,1152,,,190105,1,SN16,SN16,812,812,1413,1413,,
50,1,2,,1153,1,1153,,,,,,,,,,
51,1,2,,1153,,,121904,1,SN16,SN5441,301,301,790,790,,
50,1,2,,1154,1,1154,,,,,,,,,,
51,1,2,,1154,,,121904,1,SN677,SN16,1150,1150,1537,1537,,
50,1,2,,1155,1,1155,,,,,,,,,,
51,1,2,,1155,,,121904,1,SN5441,SN677,802,802,1130,1130,,
50,1,2,,1156,1,1156,,,,,,,,,,
51,1,2,,1156,,,111507,1,SN5283,SN677,809,809,1254,1254,,
50,1,2,,1157,1,1157,,,,,,,,,,
51,1,2,,1157,,,111507,1,SN677,SN16,1275,1275,1609,1609,,
50,1,2,,1158,1,1158,,,,,,,,,,
51,1,2,,1158,,,111507,1,SN16,SN5283,327,327,787,787,,
50,1,2,,1159,1,1159,,,,,,,,,,
51,1,2,,1159,,,110108,1,SN16,SN16,735,735,1296,1296,,
50,1,2,,1160,1,1160,,,,,,,,,,
51,1,2,,1160,,,112105,1,SN16,SN6542,340,340,741,741,,
50,1,2,,1161,1,1161,,,,,,,,,,
51,1,2,,1161,,,112105,1,SN6542,SN16,752,752,1167,1167,,
50,1,2,,1162,1,1162,,,,,,,,,,
51,1,2,,1162,,,111104,1,SN3274,SN16,786,786,1181,1181,,
50,1,2,,1163,1,1163,,,,,,,,,,
51,1,2,,1163,,,121003,1,SN16,SN2770,212,212,661,661,,
50,1,2,,1164,1,1164,,,,,,,,,,
51,1,2,,1164,,,120605,1,SN16,SN3692,236,236,833,833,,
50,1,2,,1165,1,1165,,,,,,,,,,
51,1,2,,1165,,,120605,1,SN3692,SN16,847,847,1375,1375,,
50,1,2,,1166,1,1166,,,,,,,,,,
51,1,2,,1166,,,112002,1,SN16,SN6542,249,249,771,771,,
50,1,2,,1167,1,1167,,,,,,,,,,
51,1,2,,1167,,,112002,1,SN6542,SN16,1050,1050,1552,1552,,
50,1,2,,1168,1,1168,,,,,,,,,,
51,1,2,,1168,,,120802,1,SN6144,SN16,917,917,1508,1508,,
50,1,2,,1169,1,1169,,,,,,,,,,
51,1,2,,1169,,,120802,1,SN16,SN6144,264,264,898,898,,
50,1,2,,1170,1,1170,,,,,,,,,,
51,1,2,,1170,,,111009,1,SN655,SN16,829,829,1169,1169,,
50,1,2,,1171,1,1171,,,,,,,,,,
51,1,2,,1171,,,190104,1,SN16,SN7125,432,432,1005,1005,,
50,1,2,,1172,1,1172,,,,,,,,,,
51,1,2,,1172,,,190104,1,SN7125,SN16,1025,1025,1429,1429,,
50,1,2,,1173,1,1173,,,,,,,,,,
51,1,2,,1173,,,120901,1,SN6549,SN16,902,902,1265,1265,,
50,1,2,,1174,1,1174,,,,,,,,,,
51,1,2,,1174,,,120901,1,SN16,SN6549,309,309,892,892,,
50,1,2,,1175,1,1175,,,,,,,,,,
51,1,2,,1175,,,121003,1,SN2770,SN2770,680,680,1084,1084,,
50,1,2,,1176,1,1176,,,,,,,,,,
51,1,2,,1176,,,112104,1,SN6542,SN16,810,810,1167,1167,,
50,1,2,,1177,1,1177,,,,,,,,,,
51,1,2,,1177,,,112104,1,SN16,SN6542,322,322,801,801,,
50,1,2,,1178,1,1178,,,,,,,,,,
51,1,2,,1178,,,120301,1,SN16,SN6775,212,212,853,853,,
50,1,2,,1179,1,1179,,,,,,,,,,
