record type,booking id,direction num,direction name,route id,route variant,sequence num,total sequence num,from timepoint name,to timepoint name,from longitude,from latitude,to longitude,to latitude,from stop name,to stop name,from timepoint id,to timepoint id,from stop id,to stop id
80,1,1,INBOUND,101,A,3,52,,,-115.242358,36.239584,-115.242393,36.23578,SN2178,SN2258,0,0,2178,2258
80,1,1,INBOUND,101,A,4,52,,,-115.242393,36.23578,-115.242427,36.231903,SN2258,SN2180,0,0,2258,2180
80,1,1,INBOUND,101,A,5,52,,,-115.242427,36.231903,-115.242415,36.229585,SN2180,SN2227,0,0,2180,2227
80,1,1,INBOUND,101,A,6,52,,,-115.242415,36.229585,-115.242414,36.224785,SN2227,SN2260,0,0,2227,2260
80,1,1,INBOUND,101,A,7,52,,,-115.242414,36.224785,-115.242405,36.221195,SN2260,SN2259,0,0,2260,2259
80,1,1,INBOUND,101,A,8,52,,SN2189,-115.242405,36.221195,-115.24243,36.217347,SN2259,SN2189,0,2189,2259,2189
80,1,1,INBOUND,101,A,9,52,SN2189,,-115.24243,36.217347,-115.242406,36.215033,SN2189,SN2214,2189,0,2189,2214
80,1,1,INBOUND,101,A,10,52,,,-115.242406,36.215033,-115.242391,36.210149,SN2214,SN2224,0,0,2214,2224
80,1,1,INBOUND,101,A,11,52,,,-115.242391,36.210149,-115.242386,36.20647,SN2224,SN2262,0,0,2224,2262
80,1,1,INBOUND,101,A,12,52,,,-115.242386,36.20647,-115.2424,36.202831,SN2262,SN2232,0,0,2262,2232
80,1,1,INBOUND,101,A,13,52,,,-115.2424,36.202831,-115.24239,36.19934,SN2232,SN3220,0,0,2232,3220
80,1,1,INBOUND,101,A,14,52,,SN2211,-115.24239,36.19934,-115.242406,36.194403,SN3220,SN2211,0,2211,3220,2211
80,1,1,INBOUND,101,A,15,52,SN2211,,-115.242406,36.194403,-115.242414,36.191834,SN2211,SN5109,2211,0,2211,5109
80,1,1,INBOUND,101,A,16,52,,,-115.242414,36.191834,-115.242414,36.187962,SN5109,SN2251,0,0,5109,2251
80,1,1,INBOUND,101,A,17,52,,,-115.242414,36.187962,-115.242402,36.185028,SN2251,SN4038,0,0,2251,4038
80,1,1,INBOUND,101,A,18,52,,SN2253,-115.242402,36.185028,-115.242479,36.180135,SN4038,SN2253,0,2253,4038,2253
80,1,1,INBOUND,101,A,19,52,SN2253,,-115.242479,36.180135,-115.244581,36.173039,SN2253,SN2254,2253,0,2253,2254
80,1,1,INBOUND,101,A,20,52,,,-115.244581,36.173039,-115.244534,36.169996,SN2254,SN2256,0,0,2254,2256
80,1,1,INBOUND,101,A,21,52,,SN2182,-115.244534,36.169996,-115.244469,36.165939,SN2256,SN2182,0,2182,2256,2182
80,1,1,INBOUND,101,A,22,52,SN2182,,-115.244469,36.165939,-115.244019,36.161132,SN2182,SN2208,2182,0,2182,2208
80,1,1,INBOUND,101,A,23,52,,SN2187,-115.244019,36.161132,-115.243867,36.158408,SN2208,SN2187,0,2187,2208,2187
80,1,1,INBOUND,101,A,24,52,SN2187,,-115.243867,36.158408,-115.243678,36.154912,SN2187,SN2193,2187,0,2187,2193
80,1,1,INBOUND,101,A,25,52,,,-115.243678,36.154912,-115.243466,36.150976,SN2193,SN2220,0,0,2193,2220
80,1,1,INBOUND,101,A,26,52,,,-115.243466,36.150976,-115.243281,36.147311,SN2220,SN2217,0,0,2220,2217
80,1,1,INBOUND,101,A,27,52,,SN2229,-115.243281,36.147311,-115.24309,36.14347,SN2217,SN2229,0,2229,2217,2229
80,1,1,INBOUND,101,A,28,52,SN2229,,-115.24309,36.14347,-115.243101,36.140145,SN2229,SN2241,2229,0,2229,2241
80,1,1,INBOUND,101,A,29,52,,,-115.243101,36.140145,-115.243106,36.136265,SN2241,SN5833,0,0,2241,5833
80,1,1,INBOUND,101,A,30,52,,,-115.243106,36.136265,-115.243137,36.132773,SN5833,SN2190,0,0,5833,2190
80,1,1,INBOUND,101,A,31,52,,,-115.243137,36.132773,-115.243163,36.12884,SN2190,SN2195,0,0,2190,2195
80,1,1,INBOUND,101,A,32,52,,SN2235,-115.243163,36.12884,-115.243152,36.124646,SN2195,SN2235,0,2235,2195,2235
80,1,1,INBOUND,101,A,33,52,SN2235,,-115.243152,36.124646,-115.243149,36.121377,SN2235,SN2249,2235,0,2235,2249
80,1,1,INBOUND,101,A,34,52,,,-115.243149,36.121377,-115.243137,36.117713,SN2249,SN2199,0,0,2249,2199
80,1,1,INBOUND,101,A,35,52,,SN2201,-115.243137,36.117713,-115.243129,36.113531,SN2199,SN2201,0,2201,2199,2201
80,1,1,INBOUND,101,A,36,52,SN2201,,-115.243129,36.113531,-115.243163,36.10998,SN2201,SN2239,2201,0,2201,2239
80,1,1,INBOUND,101,A,37,52,,,-115.243163,36.10998,-115.243228,36.102657,SN2239,SN2237,0,0,2239,2237
80,1,1,INBOUND,101,A,38,52,,SN2245,-115.243228,36.102657,-115.243239,36.098852,SN2237,SN2245,0,2245,2237,2245
80,1,1,INBOUND,101,A,39,52,SN2245,,-115.243239,36.098852,-115.243102,36.091797,SN2245,SN2207,2245,0,2245,2207
80,1,1,INBOUND,101,A,40,52,,,-115.243102,36.091797,-115.243042,36.088838,SN2207,SN3221,0,0,2207,3221
80,1,1,INBOUND,101,A,41,52,,,-115.243042,36.088838,-115.242962,36.08441,SN3221,SN5413,0,0,3221,5413
80,1,1,INBOUND,101,A,42,52,,,-115.242962,36.08441,-115.242912,36.082003,SN5413,SN6125,0,0,5413,6125
80,1,1,INBOUND,101,A,43,52,,,-115.242912,36.082003,-115.242844,36.077176,SN6125,SN6052,0,0,6125,6052
80,1,1,INBOUND,101,A,44,52,,,-115.242844,36.077176,-115.242746,36.073878,SN6052,SN6126,0,0,6052,6126
80,1,1,INBOUND,101,A,45,52,,,-115.242746,36.073878,-115.242687,36.069996,SN6126,SN5500,0,0,6126,5500
80,1,1,INBOUND,101,A,46,52,,,-115.242687,36.069996,-115.242697,36.064601,SN5500,SN6072,0,0,5500,6072
80,1,1,INBOUND,101,A,47,52,,SN6127,-115.242697,36.064601,-115.242719,36.061656,SN6072,SN6127,0,6127,6072,6127
80,1,1,INBOUND,101,A,48,52,SN6127,,-115.242719,36.061656,-115.242949,36.05885,SN6127,SN6139,6127,0,6127,6139
80,1,1,INBOUND,101,A,49,52,,,-115.242949,36.05885,-115.243271,36.055211,SN6139,SN6665,0,0,6139,6665
80,1,1,INBOUND,101,A,50,52,,,-115.243271,36.055211,-115.243332,36.051343,SN6665,SN6666,0,0,6665,6666
80,1,1,INBOUND,101,A,51,52,,,-115.243332,36.051343,-115.243427,36.047666,SN6666,SN6875,0,0,6666,6875
80,1,1,INBOUND,101,A,52,52,,SN6876,-115.243427,36.047666,-115.243567,36.042227,SN6875,SN6876,0,6876,6875,6876
80,1,1,INBOUND,101,-,1,58,SN1618,,-115.241129,36.247885,-115.242348,36.243418,SN1618,SN2225,1618,0,1618,2225
80,1,1,INBOUND,101,-,2,58,,,-115.242348,36.243418,-115.242358,36.239584,SN2225,SN2178,0,0,2225,2178
80,1,1,INBOUND,101,-,3,58,,,-115.242358,36.239584,-115.242393,36.23578,SN2178,SN2258,0,0,2178,2258
80,1,1,INBOUND,101,-,4,58,,,-115.242393,36.23578,-115.242427,36.231903,SN2258,SN2180,0,0,2258,2180
80,1,1,INBOUND,101,-,5,58,,,-115.242427,36.231903,-115.242415,36.229585,SN2180,SN2227,0,0,2180,2227
80,1,1,INBOUND,101,-,6,58,,,-115.242415,36.229585,-115.242414,36.224785,SN2227,SN2260,0,0,2227,2260
