place name,place description,longitude,latitude
SN3379,WB Sahara after Nellis,-115.065931,36.144419
SN3399,NB Sloan after Sahara,-115.047144,36.145452
SN3419,WB Bonanza after Ute,-115.061027,36.17421
SN3470,WB Cheyenne after Durango,-115.279408,36.21875
SN3502,EB Craig after Pecos,-115.096598,36.240098
SN3508,WB Craig after Lamb,-115.08097,36.240577
SN3509,WB Craig before Mitchell,-115.096205,36.240396
SN3590,SB Las Vegas at Bellagio,-115.17324,36.110565
SN3617,SB Eastern after Pebble,-115.118629,36.027135
SN3620,EB Charleston after Fort Apache,-115.290585,36.158878
SN3655,NB Eastern after Pebble,-115.11828,36.028256
SN3681,EB Spring Mountain after Durango,-115.277972,36.125773
SN3689,SB Civic Center before Cope,-115.120158,36.218891
SN3692,EB Charleston after Sloan,-115.045216,36.159313
SN3775,WB Charleston after Rampart,-115.292139,36.159166
SN3863,NB Durango after Tropicana,-115.27905,36.10082
SN3867,EB Flamingo after Durango,-115.277867,36.11473
SN3872,EB Cheyenne before Nellis,-115.063082,36.218154
SN3940,WB Lake Mead after Simmons,-115.179575,36.197569
SN3943,WB Craig after Losee,-115.11769,36.239943
SN3948,WB Craig after Camino Al Norte,-115.16284,36.239619
SN3951,WB Craig after Simmons,-115.180739,36.239599
SN3956,WB Craig after Decatur,-115.20843,36.238947
SN3970,EB Craig after Rancho,-115.231074,36.239349
SN3971,EB Craig after Decatur,-115.206251,36.238662
SN3976,EB Craig after Martin L King,-115.160949,36.239218
SN3981,EB Craig after Losee,-115.116219,36.239687
SN3998,SB Pecos before Sunset,-115.100996,36.072353
SN4003,SB Pecos after Windmill,-115.100419,36.04185
SN4026,WB Ann after Camino Eldorado,-115.157413,36.261179
SN4058,EB Desert Inn after Fort Apache,-115.296409,36.12971
SN4064,NB Paradise after Desert Inn,-115.154681,36.130124
SN4092,SB Gr Centr at LV Prem Outlets-Nort,-115.157058,36.163237
SN4172,NB Las Vegas at Las Vegas Golf,-115.172172,36.068633
SN4183,NB Las Vegas after Washington,-115.133882,36.182698
SN4186,NB Boulder before Russell,-115.031831,36.084213
SN4188,EB Russell after Valley View,-115.188946,36.086187
SN4225,WB Ann after Decatur,-115.2078,36.261709
SN4229,NB Village Park after Paseo Verde,-115.087602,36.020102
SN4275,WB Sky Pointe after John Herbert,-115.263191,36.278987
SN4288,SB Las Vegas after Craig,-115.056637,36.239355
SN4294,SB Las Vegas after Pecos,-115.099531,36.214254
SN4299,SB Las Vegas after Town Square,-115.172626,36.067595
SN4351,NB Paradise before Sahara,-115.154609,36.142337
SN4352,NB Hollywood after Lake Mead,-115.026249,36.196403
SN4427,NB Jones after Cheyenne,-115.2257,36.217535
SN4442,SB Simmons before Cheyenne,-115.179652,36.21855
SN4450,NB Rancho after Lone Mountain,-115.240395,36.248359
SN4483,WB Horizon Ridge after Eastern,-115.105982,35.998937
SN4487,SB Buffalo after Cheyenne,-115.2606,36.21768
SN5051,SB Las Vegas before Lake Mead,-115.128124,36.196733
SN5052,NB Las Vegas after Lake Mead,-115.127848,36.196736
SN5067,EB Anne after Simmons,-115.179134,36.261457
SN5117,SB Fort Apache after Charleston,-115.291593,36.158363
SN5139,NB Durango after Flamingo,-115.278839,36.115438
SN5164,NB Durango after Spring Mountain,-115.278782,36.126416
SN5169,NB Fort Apache after Sahara,-115.29758,36.145285
SN5203,WB Farm after Tule Springs,-115.279391,36.299222
SN5235,SB Las Vegas after Silverado Ranch,-115.172614,36.01304
SN5277,SB Gibson after Mary Crest,-115.029508,36.037728
SN5278,SB Gibson after Las Palmas Entrada,-115.029701,36.028183
SN5283,NB Stephanie after Horizon Ridge,-115.047123,36.022358
SN5326,EB American Pacific after Stephanie,-115.045915,36.041636
SN5387,WB Lake Mead after Rampart,-115.283148,36.200489
SN5407,NB Decatur after Craig,-115.207488,36.239799
